,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
22.80572313689484,AT2G28105,AT5G15850,AT5G37310,AT1G06040,AT2G18245,AT5G23010,AT4G36040,AT3G14770,AT2G41430,AT4G31390,AT1G14700,AT5G06690,AT4G12900,AT5G66920,AT3G54830,AT5G51820,AT1G57980,AT5G47310,AT3G13222,AT2G15570,AT5G16410,,,,,,,,,,,
17.34568648987943,AT5G52570,AT4G26130,AT1G17360,AT4G38960,AT5G51820,AT4G28660,AT1G20696,AT2G27420,AT4G16890,AT1G60590,AT5G02150,AT2G19650,AT2G30570,AT1G20950,AT3G19710,AT1G06110,AT3G07310,AT3G18490,AT1G06040,AT4G21926,AT2G14660,AT3G60130,AT1G10155,,,,,,,,,
21.945269311708326,AT5G20360,AT5G43440,AT5G64860,AT1G07010,AT2G42220,AT4G12800,AT5G15850,AT5G40500,AT3G58990,AT4G13810,AT5G18050,AT1G59830,AT5G54110,AT1G62800,AT3G11900,AT5G52450,AT1G31190,AT5G14120,AT5G35630,AT3G60370,AT2G24150,AT1G59900,AT2G37240,AT1G73030,AT2G15570,AT5G53760,,,,,,
21.043293211700664,AT2G40400,AT5G43440,AT1G06040,AT5G57030,AT2G33500,AT1G18060,AT1G21920,AT1G10370,AT2G04700,AT2G32080,,,,,,,,,,,,,,,,,,,,,,
21.379875486737067,AT3G09600,AT5G35630,AT3G02570,AT5G40500,AT4G23630,AT1G79700,AT5G47560,AT1G21500,AT4G12900,AT3G08730,AT3G58990,AT1G64770,AT1G01910,AT1G78230,AT1G56220,AT5G50950,AT2G42220,AT5G64860,AT1G67740,AT5G65720,AT2G39730,AT1G59830,AT2G21320,,,,,,,,,
21.108694632008383,AT2G43010,AT5G15850,AT5G53760,AT5G42820,AT1G37130,AT2G37180,AT1G73030,AT5G24420,AT4G19110,AT1G14290,AT3G46970,AT2G40400,AT2G15570,AT1G06040,AT4G19450,AT1G16240,AT3G14770,AT1G72340,AT5G20360,AT2G20750,AT3G56190,AT1G64230,,,,,,,,,,
21.269456087344576,AT5G52570,AT1G06040,AT4G04020,AT3G56190,AT2G47490,AT5G42820,AT2G18245,AT1G65860,AT1G79920,AT1G56220,AT1G18060,AT4G27450,,,,,,,,,,,,,,,,,,,,
22.907068157372066,AT4G32280,AT1G37130,AT5G64840,AT5G35630,AT4G26130,AT2G37180,AT1G06680,AT1G08980,AT3G51610,AT4G36360,AT5G12470,AT4G12060,AT5G13100,AT1G59830,AT5G07350,AT4G26850,,,,,,,,,,,,,,,,
21.31874362845817,AT5G02810,AT3G14770,AT2G45740,AT1G79700,AT3G58990,AT1G73030,AT5G64860,AT5G54930,AT1G48100,AT5G20360,AT3G50820,AT1G15690,AT2G33500,AT4G12800,AT4G26130,AT1G18060,AT3G59410,AT2G41430,AT2G14660,,,,,,,,,,,,,
21.677890768244392,AT2G31380,AT3G46970,AT5G02810,AT5G65720,AT1G07010,AT4G26530,AT3G14415,AT1G59830,AT5G06690,AT1G64500,AT1G26560,AT3G19930,AT2G30570,AT4G18730,AT1G32080,,,,,,,,,,,,,,,,,
